ISSN;Titulo;√?rea de Avalia√ß√£o;QUALIS
1548-3924;INTERNATIONAL JOURNAL OF DATA WAREHOUSING AND MINING;CI√?NCIA DA COMPUTA√?√?O;B1
1539-3100;INTERNATIONAL JOURNAL OF DISTANCE EDUCATION TECHNOLOGIES;CI√?NCIA DA COMPUTA√?√?O;B1
1550-1329;INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS;CI√?NCIA DA COMPUTA√?√?O;B1
1550-1477;INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS (ONLINE);CI√?NCIA DA COMPUTA√?√?O;B1
1548-3886;INTERNATIONAL JOURNAL OF ELECTRONIC GOVERNMENT RESEARCH;CI√?NCIA DA COMPUTA√?√?O;B1
1362-3060;INTERNATIONAL JOURNAL OF ELECTRONICS (ONLINE);CI√?NCIA DA COMPUTA√?√?O;B1
1562-2479;INTERNATIONAL JOURNAL OF FUZZY SYSTEMS;CI√?NCIA DA COMPUTA√?√?O;B1
1615-5262;INTERNATIONAL JOURNAL OF INFORMATION SECURITY (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1744-263X;INTERNATIONAL JOURNAL OF METADATA, SEMANTICS AND ONTOLOGIES;CI√?NCIA DA COMPUTA√?√?O;B1
1744-2621;INTERNATIONAL JOURNAL OF METADATA, SEMANTICS AND ONTOLOGIES (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1055-7148;INTERNATIONAL JOURNAL OF NETWORK MANAGEMENT;CI√?NCIA DA COMPUTA√?√?O;B1
1055-7148;INTERNATIONAL JOURNAL OF NETWORK MANAGEMENT;CI√?NCIA DA COMPUTA√?√?O;B1
1099-1190;INTERNATIONAL JOURNAL OF NETWORK MANAGEMENT (ONLINE);CI√?NCIA DA COMPUTA√?√?O;B1
1470-9503;INTERNATIONAL JOURNAL OF NETWORKING AND VIRTUAL ORGANISATIONS;CI√?NCIA DA COMPUTA√?√?O;B1
0894-3370;INTERNATIONAL JOURNAL OF NUMERICAL MODELLING (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1744-5760;INTERNATIONAL JOURNAL OF PARALLEL, EMERGENT AND DISTRIBUTED SYSTEMS (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
0885-7458;INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING;CI√?NCIA DA COMPUTA√?√?O;B1
0218-0014;INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE;CI√?NCIA DA COMPUTA√?√?O;B1
0219-7499;INTERNATIONAL JOURNAL OF QUANTUM INFORMATION;CI√?NCIA DA COMPUTA√?√?O;B1
1747-8405;INTERNATIONAL JOURNAL OF SECURITY AND NETWORKS (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1473-8031;INTERNATIONAL JOURNAL OF SIMULATION: SYSTEMS, SCIENCE & TECHNOLOGY (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
0218-1940;INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING;CI√?NCIA DA COMPUTA√?√?O;B1
0219-6913;INTERNATIONAL JOURNAL OF WAVELETS, MULTIRESOLUTION AND INFORMATION PROCESSING;CI√?NCIA DA COMPUTA√?√?O;B1
1741-1114;INTERNATIONAL JOURNAL OF WEB AND GRID SERVICES (ONLINE);CI√?NCIA DA COMPUTA√?√?O;B1
1741-1106;INTERNATIONAL JOURNAL OF WEB AND GRID SERVICES (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1477-8394;INTERNATIONAL JOURNAL OF WEB BASED COMMUNITIES (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1476-1289;INTERNATIONAL JOURNAL OF WEB ENGINEERING AND TECHNOLOGY;CI√?NCIA DA COMPUTA√?√?O;B1
1744-0084;INTERNATIONAL JOURNAL OF WEB INFORMATION SYSTEMS (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1545-7362;INTERNATIONAL JOURNAL OF WEB SERVICES RESEARCH;CI√?NCIA DA COMPUTA√?√?O;B1
1068-9605;INTERNATIONAL JOURNAL OF WIRELESS INFORMATION NETWORKS;CI√?NCIA DA COMPUTA√?√?O;B1
0218-2130;INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS;CI√?NCIA DA COMPUTA√?√?O;B1
1432-5012;INTERNATIONAL JOURNAL ON DIGITAL LIBRARIES (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1433-2833;INTERNATIONAL JOURNAL ON DOCUMENT ANALYSIS AND RECOGNITION (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1460-7425;JASSS (GUILDFORD);CI√?NCIA DA COMPUTA√?√?O;B1
0835-3026;JCMCC. JOURNAL OF COMBINATORIAL MATHEMATICS AND COMBINATORIAL COMPUTING;CI√?NCIA DA COMPUTA√?√?O;B1
1772-9890;JOURNAL IN COMPUTER VIROLOGY;CI√?NCIA DA COMPUTA√?√?O;B1
1868-5137;JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING;CI√?NCIA DA COMPUTA√?√?O;B1
1570-8683;JOURNAL OF APPLIED LOGIC;CI√?NCIA DA COMPUTA√?√?O;B1
0219-7200;JOURNAL OF BIOINFORMATICS AND COMPUTATIONAL BIOLOGY (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1557-5969;JOURNAL OF CELLULAR AUTOMATA;CI√?NCIA DA COMPUTA√?√?O;B1
1549-9618;JOURNAL OF CHEMICAL THEORY AND COMPUTATION;CI√?NCIA DA COMPUTA√?√?O;B1
0218-1266;JOURNAL OF CIRCUITS, SYSTEMS, AND COMPUTERS;CI√?NCIA DA COMPUTA√?√?O;B1
1229-2370;JOURNAL OF COMMUNICATIONS AND NETWORKS (SEOUL. PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1877-7503;JOURNAL OF COMPUTATIONAL SCIENCE;CI√?NCIA DA COMPUTA√?√?O;B1
1000-9000;JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY;CI√?NCIA DA COMPUTA√?√?O;B1
1549-3636;JOURNAL OF COMPUTER SCIENCES;CI√?NCIA DA COMPUTA√?√?O;B1
1530-9827;JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING;CI√?NCIA DA COMPUTA√?√?O;B1
1975-9320;JOURNAL OF CONVERGENCE INFORMATION TECHNOLOGY (GYEONGJU);CI√?NCIA DA COMPUTA√?√?O;B1
0944-6532;JOURNAL OF CONVEX ANALYSIS;CI√?NCIA DA COMPUTA√?√?O;B1
2190-8508;JOURNAL OF CRYPTOGRAPHIC ENGINEERING;CI√?NCIA DA COMPUTA√?√?O;B1
0897-1889;JOURNAL OF DIGITAL IMAGING;CI√?NCIA DA COMPUTA√?√?O;B1
1618-727X;JOURNAL OF DIGITAL IMAGING (INTERNET);CI√?NCIA DA COMPUTA√?√?O;B1
1570-8667;JOURNAL OF DISCRETE ALGORITHMS (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
0923-8174;JOURNAL OF ELECTRONIC TESTING;CI√?NCIA DA COMPUTA√?√?O;B1
1573-0727;JOURNAL OF ELECTRONIC TESTING (DORDRECHT. ONLINE);CI√?NCIA DA COMPUTA√?√?O;B1
1062-7375;JOURNAL OF GLOBAL INFORMATION MANAGEMENT;CI√?NCIA DA COMPUTA√?√?O;B1
0364-9024;JOURNAL OF GRAPH THEORY (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
2165-347X;JOURNAL OF GRAPHICS TOOLS;CI√?NCIA DA COMPUTA√?√?O;B1
1570-7873;JOURNAL OF GRID COMPUTING;CI√?NCIA DA COMPUTA√?√?O;B1
0926-6801;JOURNAL OF HIGH SPEED NETWORKS;CI√?NCIA DA COMPUTA√?√?O;B1
1465-1734;JOURNAL OF HYDROINFORMATICS (ONLINE);CI√?NCIA DA COMPUTA√?√?O;B1
1064-1246;JOURNAL OF INTELLIGENT & FUZZY SYSTEMS;CI√?NCIA DA COMPUTA√?√?O;B1
0921-0296;JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS;CI√?NCIA DA COMPUTA√?√?O;B1
1573-0409;JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS (DORDRECHT. ONLINE);CI√?NCIA DA COMPUTA√?√?O;B1
0925-9902;JOURNAL OF INTELLIGENT INFORMATION SYSTEMS;CI√?NCIA DA COMPUTA√?√?O;B1
1869-0238;JOURNAL OF INTERNET SERVICES AND APPLICATIONS;CI√?NCIA DA COMPUTA√?√?O;B1
1867-4828;JOURNAL OF INTERNET SERVICES AND APPLICATIONS;CI√?NCIA DA COMPUTA√?√?O;B1
1607-9264;JOURNAL OF INTERNET TECHNOLOGY;CI√?NCIA DA COMPUTA√?√?O;B1
1748-9725;JOURNAL OF LOCATION BASED SERVICES (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1546-1998;JOURNAL OF LOW POWER ELECTRONICS (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1542-3980;JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING;CI√?NCIA DA COMPUTA√?√?O;B1
1064-7570;JOURNAL OF NETWORK AND SYSTEMS MANAGEMENT;CI√?NCIA DA COMPUTA√?√?O;B1
1660-1769;JOURNAL OF OBJECT TECHNOLOGY;CI√?NCIA DA COMPUTA√?√?O;B1
1535-3893;JOURNAL OF PROTEOME RESEARCH (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1874-3919;JOURNAL OF PROTEOMICS (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1861-8200;JOURNAL OF REAL-TIME IMAGE PROCESSING (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1443-458X;JOURNAL OF RESEARCH AND PRACTICE IN INFORMATION TECHNOLOGY;CI√?NCIA DA COMPUTA√?√?O;B1
1939-8018;JOURNAL OF SIGNAL PROCESSING SYSTEMS FOR SIGNAL, IMAGE, AND VIDEO TECHNOLOGY;CI√?NCIA DA COMPUTA√?√?O;B1
1939-8115;JOURNAL OF SIGNAL PROCESSING SYSTEMS FOR SIGNAL, IMAGE, AND VIDEO TECHNOLOGY (ONLINE);CI√?NCIA DA COMPUTA√?√?O;B1
0920-8542;JOURNAL OF SUPERCOMPUTING;CI√?NCIA DA COMPUTA√?√?O;B1
1383-7621;JOURNAL OF SYSTEMS ARCHITECTURE;CI√?NCIA DA COMPUTA√?√?O;B1
0104-6500;JOURNAL OF THE BRAZILIAN COMPUTER SOCIETY (IMPRESSO);CI√?NCIA DA COMPUTA√?√?O;B1
1678-4804;JOURNAL OF THE BRAZILIAN COMPUTER SOCIETY (ONLINE);CI√?NCIA DA COMPUTA√?√?O;B1
0948-695X;JOURNAL OF UNIVERSAL COMPUTER SCIENCE;CI√?NCIA DA COMPUTA√?√?O;B1
0948-6968;JOURNAL OF UNIVERSAL COMPUTER SCIENCE;CI√?NCIA DA COMPUTA√?√?O;B1
0948-695X;JOURNAL OF UNIVERSAL COMPUTER SCIENCE (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1045-926X;JOURNAL OF VISUAL LANGUAGES AND COMPUTING;CI√?NCIA DA COMPUTA√?√?O;B1
1540-9589;JOURNAL OF WEB ENGINEERING;CI√?NCIA DA COMPUTA√?√?O;B1
1875-0931;JOURNAL ON CHAIN AND NETWORK SCIENCE (ONLINE);CI√?NCIA DA COMPUTA√?√?O;B1
1469-8005;KNOWLEDGE ENGINEERING REVIEW (ONLINE);CI√?NCIA DA COMPUTA√?√?O;B1
0269-8889;KNOWLEDGE ENGINEERING REVIEW (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
0943-7444;KNOWLEDGE ORGANIZATION;CI√?NCIA DA COMPUTA√?√?O;B1
0743-7463;LANGMUIR;CI√?NCIA DA COMPUTA√?√?O;B1
1574-020X;LANGUAGE RESOURCES AND EVALUATION;CI√?NCIA DA COMPUTA√?√?O;B1
2047-7538;LIGHT: SCIENCE & APPLICATIONS;CI√?NCIA DA COMPUTA√?√?O;B1
1368-9894;LOGIC JOURNAL OF THE IGPL (ONLINE);CI√?NCIA DA COMPUTA√?√?O;B1
1367-0751;LOGIC JOURNAL OF THE IGPL (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
0922-6567;MACHINE TRANSLATION;CI√?NCIA DA COMPUTA√?√?O;B1
0932-8092;MACHINE VISION AND APPLICATIONS;CI√?NCIA DA COMPUTA√?√?O;B1
1432-1769;MACHINE VISION AND APPLICATIONS (INTERNET);CI√?NCIA DA COMPUTA√?√?O;B1
0101-8205;MATEM√?TICA APLICADA E COMPUTACIONAL (CESSOU EM 1997. CONT. ISSN 1807-0302 COMPUTATIONAL & APPLIED MATHEMATICS);CI√?NCIA DA COMPUTA√?√?O;B1
1432-2994;MATHEMATICAL METHODS OF OPERATIONS RESEARCH (HEIDELBERG);CI√?NCIA DA COMPUTA√?√?O;B1
1867-2949;MATHEMATICAL PROGRAMMING COMPUTATION;CI√?NCIA DA COMPUTA√?√?O;B1
1865-9284;MEMETIC COMPUTING;CI√?NCIA DA COMPUTA√?√?O;B1
0141-9331;MICROPROCESSORS AND MICROSYSTEMS;CI√?NCIA DA COMPUTA√?√?O;B1
0960-1295;MSCS. MATHEMATICAL STRUCTURES IN COMPUTER SCIENCE (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
0923-6082;MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING;CI√?NCIA DA COMPUTA√?√?O;B1
1573-0824;MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING (ONLINE);CI√?NCIA DA COMPUTA√?√?O;B1
0942-4962;MULTIMEDIA SYSTEMS;CI√?NCIA DA COMPUTA√?√?O;B1
1432-1882;MULTIMEDIA SYSTEMS (ONLINE);CI√?NCIA DA COMPUTA√?√?O;B1
1380-7501;MULTIMEDIA TOOLS AND APPLICATIONS;CI√?NCIA DA COMPUTA√?√?O;B1
1573-7721;MULTIMEDIA TOOLS AND APPLICATIONS (DORDRECHT. ONLINE);CI√?NCIA DA COMPUTA√?√?O;B1
1567-7818;NATURAL COMPUTING;CI√?NCIA DA COMPUTA√?√?O;B1
1351-3249;NATURAL LANGUAGE ENGINEERING (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1754-2189;NATURE PROTOCOLS (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
0028-3045;NETWORKS (NEW YORK, N.Y. PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
0941-0643;NEURAL COMPUTING & APPLICATIONS;CI√?NCIA DA COMPUTA√?√?O;B1
1433-3058;NEURAL COMPUTING & APPLICATIONS (INTERNET);CI√?NCIA DA COMPUTA√?√?O;B1
0941-0643;NEURAL COMPUTING & APPLICATIONS (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
2213-1582;NEUROIMAGE: CLINICAL;CI√?NCIA DA COMPUTA√?√?O;B1
1053-8119;NEUROIMAGE (ORLANDO, FLA. PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1070-5325;NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS;CI√?NCIA DA COMPUTA√?√?O;B1
1573-4277;OPTICAL SWITCHING AND NETWORKING (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
0233-1934;OPTIMIZATION (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
0167-8094;ORDER (DORDRECHT);CI√?NCIA DA COMPUTA√?√?O;B1
1433-755X;PATTERN ANALYSIS AND APPLICATIONS;CI√?NCIA DA COMPUTA√?√?O;B1
1433-7541;PATTERN ANALYSIS AND APPLICATIONS;CI√?NCIA DA COMPUTA√?√?O;B1
1433-7541;PATTERN ANALYSIS AND APPLICATIONS (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1463-9076;PCCP. PHYSICAL CHEMISTRY CHEMICAL PHYSICS (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1936-6442;PEER-TO-PEER NETWORKING AND APPLICATIONS (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1387-974X;PHOTONIC NETWORK COMMUNICATIONS;CI√?NCIA DA COMPUTA√?√?O;B1
0031-9007;PHYSICAL REVIEW LETTERS (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1571-0645;PHYSICS OF LIFE REVIEWS (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
0370-1573;PHYSICS REPORTS;CI√?NCIA DA COMPUTA√?√?O;B1
0399-0559;RAIRO. RECHERCHE OP√?RATIONNELLE;CI√?NCIA DA COMPUTA√?√?O;B1
0922-6443;REAL-TIME SYSTEMS;CI√?NCIA DA COMPUTA√?√?O;B1
1573-1383;REAL-TIME SYSTEMS (ONLINE);CI√?NCIA DA COMPUTA√?√?O;B1
1290-3868;RECHERCHE OP√?RATIONNELLE;CI√?NCIA DA COMPUTA√?√?O;B1
0034-4257;REMOTE SENSING OF ENVIRONMENT;CI√?NCIA DA COMPUTA√?√?O;B1
1432-010X;REQUIREMENTS ENGINEERING;CI√?NCIA DA COMPUTA√?√?O;B1
0947-3602;REQUIREMENTS ENGINEERING (LONDON. PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
0048-9697;SCIENCE OF THE TOTAL ENVIRONMENT;CI√?NCIA DA COMPUTA√?√?O;B1
1939-0114;SECURITY AND COMMUNICATION NETWORKS;CI√?NCIA DA COMPUTA√?√?O;B1
0925-4005;SENSORS AND ACTUATORS. B, CHEMICAL;CI√?NCIA DA COMPUTA√?√?O;B1
1863-2386;SERVICE ORIENTED COMPUTING AND APPLICATIONS;CI√?NCIA DA COMPUTA√?√?O;B1
1863-1711;SIGNAL, IMAGE AND VIDEO PROCESSING;CI√?NCIA DA COMPUTA√?√?O;B1
1863-1703;SIGNAL, IMAGE AND VIDEO PROCESSING;CI√?NCIA DA COMPUTA√?√?O;B1
1863-1703;SIGNAL, IMAGE AND VIDEO PROCESSING (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
1569-190X;SIMULATION MODELLING PRACTICE AND THEORY;CI√?NCIA DA COMPUTA√?√?O;B1
0037-5497;SIMULATION (SAN DIEGO, CALIF.);CI√?NCIA DA COMPUTA√?√?O;B1
1619-1366;SOFTWARE AND SYSTEMS MODELING;CI√?NCIA DA COMPUTA√?√?O;B1
1619-1366;SOFTWARE AND SYSTEMS MODELING;CI√?NCIA DA COMPUTA√?√?O;B1
0963-9314;SOFTWARE QUALITY JOURNAL;CI√?NCIA DA COMPUTA√?√?O;B1
1573-1367;SOFTWARE QUALITY JOURNAL (ONLINE);CI√?NCIA DA COMPUTA√?√?O;B1
0960-0833;SOFTWARE TESTING, VERIFICATION & RELIABILITY;CI√?NCIA DA COMPUTA√?√?O;B1
1099-1689;SOFTWARE TESTING, VERIFICATION AND RELIABILITY;CI√?NCIA DA COMPUTA√?√?O;B1
1387-5868;SPATIAL COGNITION AND COMPUTATION;CI√?NCIA DA COMPUTA√?√?O;B1
0039-3215;STUDIA LOGICA;CI√?NCIA DA COMPUTA√?√?O;B1
2210-5379;SUSTAINABLE COMPUTING: INFORMATICS AND SYSTEMS;CI√?NCIA DA COMPUTA√?√?O;B1
1572-9451;TELECOMMUNICATION SYSTEMS;CI√?NCIA DA COMPUTA√?√?O;B1
1018-4864;TELECOMMUNICATIONS SYSTEMS;CI√?NCIA DA COMPUTA√?√?O;B1
1077-8926;THE ELECTRONIC JOURNAL OF COMBINATORICS;CI√?NCIA DA COMPUTA√?√?O;B1
1094-3420;THE INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS;CI√?NCIA DA COMPUTA√?√?O;B1
0270-6474;THE JOURNAL OF NEUROSCIENCE;CI√?NCIA DA COMPUTA√?√?O;B1
1573-0484;THE JOURNAL OF SUPERCOMPUTING (DORDRECHT. ONLINE);CI√?NCIA DA COMPUTA√?√?O;B1
0269-8889;THE KNOWLEDGE ENGINEERING REVIEW;CI√?NCIA DA COMPUTA√?√?O;B1
1361-1682;TRANSACTIONS IN GIS (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
2161-3915;TRANSACTIONS ON EMERGING TELECOMMUNICATIONS TECHNOLOGIES (ONLINE);CI√?NCIA DA COMPUTA√?√?O;B1
0167-7799;TRENDS IN BIOTECHNOLOGY (REGULAR ED.);CI√?NCIA DA COMPUTA√?√?O;B1
1615-5297;UNIVERSAL ACCESS IN THE INFORMATION SOCIETY (INTERNET);CI√?NCIA DA COMPUTA√?√?O;B1
1615-5289;UNIVERSAL ACCESS IN THE INFORMATION SOCIETY (PRINT);CI√?NCIA DA COMPUTA√?√?O;B1
0956-053X;WASTE MANAGEMENT (ELMSFORD);CI√?NCIA DA COMPUTA√?√?O;B1
0929-6212;WIRELESS PERSONAL COMMUNICATIONS;CI√?NCIA DA COMPUTA√?√?O;B1
1386-145X;WORLD WIDE WEB (BUSSUM);CI√?NCIA DA COMPUTA√?√?O;B1
1619-4500;4OR (BERLIN);CI√?NCIA DA COMPUTA√?√?O;B1
1932-2232;ACM COMMUNICATIONS IN COMPUTER ALGEBRA;CI√?NCIA DA COMPUTA√?√?O;B2
1355-6215;ADDICTION BIOLOGY (PRINT);CI√?NCIA DA COMPUTA√?√?O;B2
1178-6949;ADVANCES AND APPLICATIONS IN BIOINFORMATICS AND CHEMISTRY;CI√?NCIA DA COMPUTA√?√?O;B2
1687-5893;ADVANCES IN HUMAN-COMPUTER INTERACTION (PRINT);CI√?NCIA DA COMPUTA√?√?O;B2
0090-6964;ANNALS OF BIOMEDICAL ENGINEERING;CI√?NCIA DA COMPUTA√?√?O;B2
0021-9150;ATHEROSCLEROSIS (AMSTERDAM);CI√?NCIA DA COMPUTA√?√?O;B2
1471-2164;BMC GENOMICS;CI√?NCIA DA COMPUTA√?√?O;B2
1471-2202;BMC NEUROSCIENCE (ONLINE);CI√?NCIA DA COMPUTA√?√?O;B2
0009-7322;CIRCULATION (NEW YORK, N.Y.);CI√?NCIA DA COMPUTA√?√?O;B2
0930-7575;CLIMATE DYNAMICS;CI√?NCIA DA COMPUTA√?√?O;B2
0165-0009;CLIMATIC CHANGE;CI√?NCIA DA COMPUTA√?√?O;B2
1744-5175;COMPUTER SCIENCE EDUCATION;CI√?NCIA DA COMPUTA√?√?O;B2
1758-0463;DATABASE: THE JOURNAL OF BIOLOGICAL DATABASES AND CURATION;CI√?NCIA DA COMPUTA√?√?O;B2
0012-1797;DIABETES (NEW YORK, N.Y.);CI√?NCIA DA COMPUTA√?√?O;B2
0197-9337;EARTH SURFACE PROCESSES AND LANDFORMS (PRINT);CI√?NCIA DA COMPUTA√?√?O;B2
0906-7590;ECOGRAPHY (COPENHAGEN);CI√?NCIA DA COMPUTA√?√?O;B2
0925-8574;ECOLOGICAL ENGINEERING;CI√?NCIA DA COMPUTA√?√?O;B2
1577-5097;ELCVIA. ELECTRONIC LETTERS ON COMPUTER VISION AND IMAGE ANALYSIS;CI√?NCIA DA COMPUTA√?√?O;B2
0301-4215;ENERGY POLICY;CI√?NCIA DA COMPUTA√?√?O;B2
1748-9326;ENVIRONMENTAL RESEARCH LETTERS;CI√?NCIA DA COMPUTA√?√?O;B2
0013-9580;EPILEPSIA (COPENHAGEN);CI√?NCIA DA COMPUTA√?√?O;B2
1687-417X;EURASIP JOURNAL ON INFORMATION SECURITY;CI√?NCIA DA COMPUTA√?√?O;B2
1687-4161;EURASIP JOURNAL ON MULTIMEDIA AND INFORMATION SECURITY (PRINT);CI√?NCIA DA COMPUTA√?√?O;B2
0223-5234;EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY;CI√?NCIA DA COMPUTA√?√?O;B2
0928-0987;EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES;CI√?NCIA DA COMPUTA√?√?O;B2
0014-3057;EUROPEAN POLYMER JOURNAL;CI√?NCIA DA COMPUTA√?√?O;B2
0924-9338;EUROPEAN PSYCHIATRY (PARIS);CI√?NCIA DA COMPUTA√?√?O;B2
0308-8146;FOOD CHEMISTRY;CI√?NCIA DA COMPUTA√?√?O;B2
1662-5102;FRONTIERS IN CELLULAR NEUROSCIENCE;CI√?NCIA DA COMPUTA√?√?O;B2
1662-5188;FRONTIERS IN COMPUTATIONAL NEUROSCIENCE;CI√?NCIA DA COMPUTA√?√?O;B2
1664-302X;FRONTIERS IN MICROBIOLOGY (ONLINE);CI√?NCIA DA COMPUTA√?√?O;B2
1662-5196;FRONTIERS IN NEUROINFORMATICS;CI√?NCIA DA COMPUTA√?√?O;B2
1548-1603;GISCIENCE AND REMOTE SENSING;CI√?NCIA DA COMPUTA√?√?O;B2
1059-7794;HUMAN MUTATION;CI√?NCIA DA COMPUTA√?√?O;B2
2325-6095;IEEE CLOUD COMPUTING;CI√?NCIA DA COMPUTA√?√?O;B2
2327-4662;IEEE INTERNET OF THINGS JOURNAL;CI√?NCIA DA COMPUTA√?√?O;B2
1077-260X;IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS;CI√?NCIA DA COMPUTA√?√?O;B2
2168-7161;IEEE TRANSACTIONS ON CLOUD COMPUTING;CI√?NCIA DA COMPUTA√?√?O;B2
2329-924X;IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS;CI√?NCIA DA COMPUTA√?√?O;B2
1063-6536;IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY (PRINT);CI√?NCIA DA COMPUTA√?√?O;B2
2168-6750;IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTING;CI√?NCIA DA COMPUTA√?√?O;B2
0885-8950;IEEE TRANSACTIONS ON POWER SYSTEMS;CI√?NCIA DA COMPUTA√?√?O;B2
1556-6072;IEEE VEHICULAR TECHNOLOGY MAGAZINE;CI√?NCIA DA COMPUTA√?√?O;B2
2078-2489;INFORMATION;CI√?NCIA DA COMPUTA√?√?O;B2
1633-1311;ING√?NIERIE DES SYSTEMES D'INFORMATION;CI√?NCIA DA COMPUTA√?√?O;B2
1137-3601;INTELIGENCIA ARTIFICIAL;CI√?NCIA DA COMPUTA√?√?O;B2
1947-3206;INTERNATIONAL JOURNAL OF AGRICULTURAL AND ENVIRONMENTAL INFORMATION SYSTEMS;CI√?NCIA DA COMPUTA√?√?O;B2
0020-7128;INTERNATIONAL JOURNAL OF BIOMETEOROLOGY (PRINT);CI√?NCIA DA COMPUTA√?√?O;B2
2076-0930;INTERNATIONAL JOURNAL OF COMMUNICATION NETWORKS AND INFORMATION SECURITY (PRINT);CI√?NCIA DA COMPUTA√?√?O;B2
1756-0764;INTERNATIONAL JOURNAL OF COMPUTATIONAL BIOLOGY AND DRUG DESIGN (ONLINE);CI√?NCIA DA COMPUTA√?√?O;B2
0972-9038;INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND APPLICATIONS (ONLINE);CI√?NCIA DA COMPUTA√?√?O;B2
1206-212X;INTERNATIONAL JOURNAL OF COMPUTERS & APPLICATIONS;CI√?NCIA DA COMPUTA√?√?O;B2
1755-8050;INTERNATIONAL JOURNAL OF DATA ANALYSIS TECHNIQUES AND STRATEGIES;CI√?NCIA DA COMPUTA√?√?O;B2
1759-1163;INTERNATIONAL JOURNAL OF DATA MINING, MODELLING AND MANAGEMENT;CI√?NCIA DA COMPUTA√?√?O;B2
1947-3532;INTERNATIONAL JOURNAL OF DISTRIBUTED SYSTEMS AND TECHNOLOGIES;CI√?NCIA DA COMPUTA√?√?O;B2
1947-315X;INTERNATIONAL JOURNAL OF E-HEALTH AND MEDICAL COMMUNICATIONS;CI√?NCIA DA COMPUTA√?√?O;B2
0142-0615;INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS;CI√?NCIA DA COMPUTA√?√?O;B2
